customer_id,purchase_frequency,avg_order_value,price_sensitivity,category_pref,days_since_last_purchase,last_touch_channel,converted
00002,4,3175.5,9.3,fashion,21,social,0
00005,12,3022.5,8.8,fashion,192,social,0
00006,12,4560.0,9.2,beauty,81,search,0
00007,11,976.5,5.1,both,5,social,0
00008,5,5301.0,7.6,both,107,social,1
00009,7,2370.0,4.2,beauty,1,influencer,1
00010,14,2418.0,4.4,beauty,238,social,1
00011,14,3814.5,5.3,fashion,82,crm,1
00012,6,1195.5,3.8,fashion,267,social,0
00013,6,805.5,4.6,fashion,73,influencer,0
00014,0,1744.5,4.6,fashion,13,search,0
00015,2,4902.0,6.7,fashion,209,search,0
00016,2,2623.5,2.3,fashion,73,social,0
00018,11,2061.0,5.3,beauty,121,social,1
00019,13,4971.0,4.0,beauty,26,search,1
00020,1,5970.0,8.4,fashion,102,social,1
00022,6,1513.5,8.5,both,81,social,1
00023,8,2499.0,4.6,fashion,282,search,1
00024,0,2442.0,6.1,fashion,4,social,0
00025,11,4162.5,5.4,both,77,influencer,1
00026,13,531.0,2.1,fashion,13,social,1
00028,10,3616.5,6.0,fashion,167,search,1
00029,5,3924.0,0.0,beauty,5,social,0
00030,1,4000.5,8.7,both,27,search,1
00031,13,2932.5,5.0,both,57,social,1
00032,11,5314.5,2.6,fashion,16,social,0
00034,4,1473.0,1.9,beauty,9,social,1
00037,12,1218.0,2.0,fashion,40,influencer,1
00040,2,3684.0,0.5,beauty,75,social,1
00041,3,1581.0,5.7,both,274,influencer,1
00042,3,814.5,7.0,beauty,43,social,1
00043,14,5578.5,7.1,fashion,94,social,1
00045,11,1878.0,2.7,both,23,search,1
00047,12,4413.0,4.2,beauty,34,search,0
00048,3,2589.0,5.1,beauty,87,influencer,0
00049,3,5010.0,3.5,beauty,76,influencer,0
00050,5,699.0,3.5,fashion,24,social,0
00051,8,604.5,4.6,both,98,social,1
00052,9,1320.0,2.9,fashion,17,social,0
00053,5,2155.5,8.4,both,171,search,0
00054,5,915.0,8.3,beauty,55,social,1
00055,6,663.0,3.2,beauty,19,search,0
00057,0,1291.5,6.4,both,84,social,0
00058,7,5703.0,4.4,both,121,social,0
00060,14,4563.0,2.0,beauty,211,social,0
00061,8,1575.0,1.7,fashion,27,social,1
00062,13,1524.0,4.4,both,84,search,1
00063,13,3748.5,2.4,fashion,2,social,1
00065,3,4695.0,5.5,fashion,4,search,0
00066,8,3768.0,1.4,beauty,19,search,1
00067,7,2212.5,4.1,beauty,155,social,0
00069,14,4921.5,4.6,fashion,25,social,0
00070,13,1965.0,0.3,fashion,18,social,1
00071,5,4536.0,0.1,beauty,17,social,1
00072,8,3964.5,5.3,beauty,24,social,1
00074,2,2121.0,8.6,fashion,85,social,0
00076,7,2055.0,6.5,fashion,8,social,1
00077,1,3592.5,7.3,fashion,24,social,0
00078,11,5589.0,1.8,fashion,13,search,0
00080,8,1251.0,0.3,beauty,7,social,1
00081,14,694.5,4.3,both,216,social,0
00082,8,4083.0,4.9,fashion,0,social,1
00083,7,3585.0,0.2,beauty,202,crm,1
00084,7,1519.5,2.9,beauty,167,search,0
00085,0,3619.5,0.4,fashion,29,search,0
00086,10,667.5,0.5,fashion,24,social,0
00088,13,4410.0,4.0,fashion,186,social,0
00089,14,2814.0,6.1,fashion,12,search,0
00090,0,2259.0,1.2,fashion,71,influencer,0
00091,8,4149.0,5.6,beauty,73,crm,1
00093,0,1140.0,7.1,fashion,299,influencer,0
00094,7,2853.0,4.1,beauty,50,social,1
00095,6,4701.0,5.3,beauty,84,search,1
00096,1,3724.5,3.1,fashion,1,search,1
00098,6,1078.5,3.0,fashion,20,social,0
00099,4,1608.0,8.4,beauty,115,influencer,0
00100,14,3820.5,5.5,fashion,2,social,0
00101,6,4494.0,4.6,beauty,25,influencer,1
00102,9,1675.5,2.7,beauty,9,influencer,1
00104,6,2340.0,7.8,fashion,35,social,0
00105,1,1491.0,0.7,beauty,29,influencer,0
00107,14,730.5,2.8,fashion,15,search,1
00108,6,1216.5,5.6,fashion,60,social,1
00109,2,3928.5,7.6,fashion,112,social,1
00110,3,2814.0,7.2,beauty,240,social,1
00113,6,2328.0,5.3,both,52,social,1
00114,13,4570.5,4.8,both,31,crm,1
00115,1,969.0,4.9,both,9,social,0
00119,10,1576.5,0.6,beauty,92,search,1
00120,0,850.5,1.8,fashion,60,influencer,0
00122,11,1686.0,3.0,beauty,79,social,1
00123,2,2593.5,0.4,both,93,crm,0
00125,3,858.0,5.8,beauty,188,influencer,0
00126,4,2269.5,5.1,beauty,115,social,1
00127,14,5250.0,8.4,beauty,61,search,1
00128,2,1359.0,2.1,both,12,social,0
00129,8,2154.0,7.5,both,2,search,0
00130,4,1696.5,1.9,fashion,71,search,1
00131,6,639.0,3.9,fashion,2,search,1
00132,14,6033.0,9.2,fashion,0,crm,1
00133,13,2893.5,0.0,both,291,search,0
00134,10,4114.5,4.7,fashion,110,social,0
00136,6,2827.5,5.4,fashion,89,social,0
00139,1,807.0,3.4,fashion,62,social,0
00140,2,2416.5,1.7,both,44,social,0
00141,3,3577.5,4.8,beauty,14,crm,0
00142,7,2793.0,1.6,fashion,39,social,0
00143,0,2643.0,1.2,beauty,104,crm,1
00145,4,1434.0,3.2,fashion,3,search,0
00146,3,1480.5,2.7,fashion,87,search,1
00147,12,471.0,4.5,beauty,190,social,0
00148,7,4695.0,1.4,fashion,19,social,1
00149,13,5895.0,3.2,beauty,51,social,1
00150,8,1542.0,7.8,both,18,influencer,1
00151,2,988.5,4.7,both,16,crm,0
00152,13,2406.0,1.6,fashion,41,search,0
00153,3,3108.0,1.2,fashion,119,social,1
00154,0,2662.5,9.2,beauty,9,social,1
00156,11,2533.5,4.8,both,77,social,0
00157,13,2602.5,5.2,fashion,1,search,1
00158,2,1294.5,6.4,beauty,216,social,1
