customer_id,purchase_frequency,avg_order_value,price_sensitivity,category_pref,days_since_last_purchase,last_touch_channel,converted
C0000,4,673.7,8.9,both,65,search,0
C0001,4,801.22,1.0,fashion,70,search,1
C0002,5,784.78,6.5,beauty,24,influencer,1
C0003,1,596.26,7.8,fashion,19,influencer,0
C0004,7,407.52,6.1,beauty,49,crm,1
C0005,1,1203.29,5.0,fashion,79,influencer,0
C0006,4,1460.68,6.2,beauty,16,influencer,1
C0007,2,1117.42,1.5,both,17,social,1
C0008,2,873.54,2.2,fashion,52,search,1
C0009,5,2437.64,2.7,fashion,20,crm,1
C0010,4,633.42,6.0,fashion,21,crm,1
C0011,1,1042.6,4.4,fashion,31,search,0
C0012,6,1565.98,2.4,both,4,influencer,1
C0013,2,481.07,8.8,beauty,25,social,0
C0014,5,1249.99,3.7,both,2,social,1
C0015,0,2057.77,4.5,both,2,crm,0
C0016,2,911.79,4.1,both,43,crm,1
C0017,2,995.06,1.8,beauty,24,search,1
C0018,3,635.51,7.3,both,0,social,1
C0019,4,1164.28,4.5,beauty,23,crm,0
C0020,0,588.11,0.2,fashion,28,crm,0
C0021,2,883.66,9.6,beauty,6,search,0
C0022,2,377.19,8.2,beauty,6,crm,0
C0023,3,150.09,7.2,beauty,2,social,1
C0024,2,706.32,8.7,beauty,16,influencer,0
C0025,4,700.15,9.1,beauty,29,search,0
C0026,5,739.48,3.4,both,101,influencer,1
C0027,3,1316.58,6.1,beauty,7,influencer,0
C0028,4,1481.28,6.1,fashion,29,influencer,0
C0029,4,1065.05,2.7,beauty,15,crm,1
C0030,1,1270.33,2.2,fashion,27,crm,1
C0031,2,597.62,1.1,fashion,40,crm,0
C0032,2,518.3,6.6,beauty,14,influencer,0
C0033,4,1176.29,7.8,fashion,2,crm,0
C0034,3,477.33,7.6,both,45,influencer,0
C0035,5,446.49,3.2,both,22,influencer,1
C0036,3,3077.79,2.1,beauty,69,influencer,0
C0037,4,942.66,4.5,beauty,6,crm,1
C0038,5,700.39,5.5,fashion,4,search,1
C0039,2,657.35,9.2,beauty,5,influencer,0
C0040,4,383.8,8.7,both,122,social,0
C0041,3,1053.59,9.2,beauty,54,crm,0
C0042,2,776.55,8.5,both,9,search,0
C0043,7,1460.28,9.6,beauty,10,influencer,1
C0044,3,1194.91,4.7,beauty,29,search,1
C0045,3,762.44,0.5,both,16,crm,1
C0046,2,258.44,0.8,both,9,crm,1
C0047,3,943.98,3.9,both,11,search,1
C0048,4,900.26,2.6,both,62,crm,1
C0049,0,223.46,1.7,beauty,33,social,0
C0050,1,1125.78,9.5,beauty,62,crm,0
C0051,2,467.88,2.0,beauty,79,influencer,0
C0052,4,1498.38,9.6,fashion,32,search,0
C0053,2,871.8,7.6,beauty,29,search,0
C0054,4,647.19,6.4,both,4,social,0
C0055,3,1013.27,6.8,beauty,21,search,0
C0056,2,981.26,3.3,beauty,10,search,1
C0057,3,962.7,6.5,beauty,74,crm,0
C0058,4,1399.93,1.9,beauty,9,crm,1
C0059,3,1045.1,9.4,beauty,12,social,0
C0060,5,615.65,3.0,fashion,76,search,1
C0061,4,789.19,2.6,beauty,116,search,1
C0062,3,1764.12,7.1,fashion,29,crm,0
C0063,1,585.21,6.6,both,24,social,0
C0064,2,1116.58,4.5,fashion,10,search,1
C0065,2,1425.74,6.3,fashion,43,social,0
C0066,1,1171.47,1.6,beauty,20,social,0
C0067,1,947.01,6.7,beauty,22,influencer,0
C0068,1,1023.54,2.7,beauty,20,social,1
C0069,1,1208.93,2.7,both,19,crm,0
C0070,3,581.32,1.6,fashion,9,influencer,1
C0071,2,903.32,3.3,beauty,126,crm,0
C0072,1,2430.64,3.3,beauty,39,social,1
C0073,3,1134.05,4.5,both,122,influencer,0
C0074,2,964.39,1.9,fashion,135,social,0
C0075,1,747.34,1.9,fashion,13,influencer,1
C0076,6,584.98,5.4,both,19,influencer,1
C0077,3,1041.07,1.3,fashion,45,social,1
C0078,5,1078.06,6.9,fashion,12,crm,1
C0079,2,871.95,9.4,beauty,76,crm,0
C0080,2,2915.99,4.3,beauty,19,crm,0
C0081,3,613.58,9.0,both,13,search,0
C0082,6,535.4,1.0,fashion,16,influencer,1
C0083,5,753.06,0.4,beauty,2,search,1
C0084,3,886.6,7.2,fashion,10,search,0
